question,answer
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster
Who is the most successful UK solo artist in the USA?,Elton John
Which country does the airline TAAG come from?,Angola
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down
River Phoenix died during the making of which movie?,Dark Blood
Which artist David was born in Bradford UK?,Hockney
What is Mel Gibson's middle name?,Columcille
Richard Daley was mayor of which city for 21 years?,Chicago
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel
What is Osbert Lancaster best known for producing?,Cartoons
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade
Who was the first US-born winner of golf's British Open?,Walter Hagen
In which country is the Sky Train Rail bridge?,Canada
What was the Paramount Film Company originally called?,Famous Players Film Company
Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary
Which journalist first told the world about the My Lai massacre?,Seymour Hersh
What is the name of Terence and Shirley Conran's dress designer son?,Jasper
Which drink did The Spice Girls promote?,Pepsi
Who was the youngest brother in the Beach Boys?,Carl Wilson
Who first hosted Family Feud?,Richard Dawson
What did the Lone Ranger's title Kemo Sabe mean in Apache?,White Shirt
Who or what was Gentle Ben in the 60s TV series?,Bear cub
Which 70s show was based on the British show Till Death Us Do Part?,All In The Family
On what date in 1969 did Neil Armstrong first set foot on the Moon?,July 20th
Bandar Seri Begawan International airport is in which country?,Brunei
What was the profession of Paul Strand (1890 - 1976)?,Photographer
Who had a 60s No 1 with Downtown?,Petula Clark
"Who was born first, Kiefer Sutherland or Christian Slater?",Kiefer Sutherland
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",10
Who was the Georgia Peach?,Ty Cobb
Who set fire to his guitar at the Monterey Pop festival in 19676?,Jimi Hendrix
Della Street was whose secretary?,Perry Mason
"In music, who was Sweet and Innocent and Too Young?",Donny Osmond
Who is featured on Puff Daddy's Can't Hold Me Down?,Mase
What had Edmond Hillary worked at before taking up mountain climbing?,Bee Keeping
In which American state is the Isabella Stewart Gardner Museum?,Massachusetts
Benina international airport is in which country?,Libya
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah Winfrey
Which Star Trek star directed Three Men and a Baby?,Leonard Nimoy
Which sitcom star appeared on the big screening The Object of My Affection?,Jennifer Aniston
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",Tinkerbell
Which US president did Anthony Hopkins play in a film whose title was simply his name?,Nixon
Which movie was a biopic about the life of David Helfgott?,Shine
Which film director guested as the FBI Director in The Silence of the Lambs?,Roger Corman
In which sci fi classic did the space ship Nostromo first appear?,Alien
Nigel Hawthorne was Oscar nominated for The Madness of which King?,George
Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,Ingrid Bergman
